[2022/07/16 15:41:12] - Namespace(attack='none', attack_iters=10, batch_size=128, chkpt_iters=10, cutout=False, cutout_len=None, data_dir='../../cifar-data', epochs=100, epsilon=8, eval=False, fgsm_alpha=1.25, fgsm_init='random', fname='./results/716_2_nt_res18eca', half=False, l1=0, l2=0, lr_drop_epoch=100, lr_max=0.1, lr_one_drop=0.01, lr_schedule='piecewise', mixup=False, mixup_alpha=None, model='res18_eca', norm='l_inf', pgd_alpha=2, restarts=1, resume=0, seed=0, val=False, width_factor=10)
[2022/07/16 15:41:15] - Epoch 	 Train Time 	 Test Time 	 LR 	 	 Train Loss 	 Train Acc 	 Train Robust Loss 	 Train Robust Acc 	 Test Loss 	 Test Acc 	 Test Robust Loss 	 Test Robust Acc
[2022/07/16 15:47:14] - 23 	 13.2 	 	 1.7 	 	 0.1000 	 0.5313 	 0.8262 	 0.6769 	 	 0.7662 	 	 0.6850 	 0.7605 	 0.6850 	 	 0.7605
[2022/07/16 15:47:29] - 24 	 13.3 	 	 1.3 	 	 0.1000 	 0.5266 	 0.8296 	 0.6781 	 	 0.7674 	 	 0.7416 	 0.7457 	 0.7416 	 	 0.7457
[2022/07/16 15:47:43] - 25 	 12.8 	 	 1.3 	 	 0.1000 	 0.5274 	 0.8312 	 0.6777 	 	 0.7672 	 	 0.7506 	 0.7421 	 0.7506 	 	 0.7421
[2022/07/16 15:47:58] - 26 	 13.9 	 	 1.3 	 	 0.1000 	 0.5316 	 0.8284 	 0.6810 	 	 0.7657 	 	 0.6911 	 0.7622 	 0.6911 	 	 0.7622
[2022/07/16 15:48:12] - 27 	 13.2 	 	 1.2 	 	 0.1000 	 0.5206 	 0.8319 	 0.6699 	 	 0.7680 	 	 0.7178 	 0.7541 	 0.7178 	 	 0.7541
[2022/07/16 15:48:27] - 28 	 13.2 	 	 1.5 	 	 0.1000 	 0.5143 	 0.8356 	 0.6645 	 	 0.7714 	 	 0.7157 	 0.7526 	 0.7157 	 	 0.7526
[2022/07/16 15:48:42] - 29 	 13.1 	 	 1.6 	 	 0.1000 	 0.5225 	 0.8318 	 0.6733 	 	 0.7693 	 	 0.6667 	 0.7700 	 0.6667 	 	 0.7700
[2022/07/16 15:48:58] - 30 	 14.9 	 	 1.4 	 	 0.1000 	 0.5209 	 0.8312 	 0.6719 	 	 0.7689 	 	 0.7385 	 0.7521 	 0.7385 	 	 0.7521
[2022/07/16 15:49:14] - 31 	 13.8 	 	 1.3 	 	 0.1000 	 0.5017 	 0.8396 	 0.6523 	 	 0.7756 	 	 0.6862 	 0.7676 	 0.6862 	 	 0.7676
[2022/07/16 15:49:28] - 32 	 13.2 	 	 1.3 	 	 0.1000 	 0.5168 	 0.8342 	 0.6671 	 	 0.7691 	 	 0.6351 	 0.7815 	 0.6351 	 	 0.7815
[2022/07/16 15:49:44] - 33 	 13.8 	 	 1.5 	 	 0.1000 	 0.5076 	 0.8362 	 0.6585 	 	 0.7734 	 	 0.7429 	 0.7459 	 0.7429 	 	 0.7459
[2022/07/16 15:49:58] - 34 	 12.9 	 	 1.3 	 	 0.1000 	 0.5057 	 0.8384 	 0.6570 	 	 0.7749 	 	 0.7318 	 0.7548 	 0.7318 	 	 0.7548
[2022/07/16 15:50:13] - 35 	 13.6 	 	 1.3 	 	 0.1000 	 0.5011 	 0.8407 	 0.6522 	 	 0.7773 	 	 0.6492 	 0.7796 	 0.6492 	 	 0.7796
[2022/07/16 15:50:27] - 36 	 13.1 	 	 1.3 	 	 0.1000 	 0.5032 	 0.8395 	 0.6534 	 	 0.7757 	 	 0.7535 	 0.7453 	 0.7535 	 	 0.7453
[2022/07/16 15:50:41] - 37 	 13.0 	 	 1.2 	 	 0.1000 	 0.5001 	 0.8411 	 0.6532 	 	 0.7756 	 	 0.7611 	 0.7441 	 0.7611 	 	 0.7441
[2022/07/16 15:50:56] - 38 	 13.7 	 	 1.3 	 	 0.1000 	 0.4982 	 0.8396 	 0.6486 	 	 0.7770 	 	 0.6497 	 0.7685 	 0.6497 	 	 0.7685
[2022/07/16 15:51:11] - 39 	 12.9 	 	 1.3 	 	 0.1000 	 0.4997 	 0.8404 	 0.6531 	 	 0.7768 	 	 0.6381 	 0.7801 	 0.6381 	 	 0.7801
[2022/07/16 15:51:25] - 40 	 12.8 	 	 1.7 	 	 0.1000 	 0.4978 	 0.8395 	 0.6502 	 	 0.7761 	 	 0.7249 	 0.7588 	 0.7249 	 	 0.7588
[2022/07/16 15:51:40] - 41 	 13.2 	 	 1.3 	 	 0.1000 	 0.5046 	 0.8377 	 0.6595 	 	 0.7733 	 	 0.6925 	 0.7639 	 0.6925 	 	 0.7639
[2022/07/16 15:51:54] - 42 	 13.2 	 	 1.2 	 	 0.1000 	 0.4976 	 0.8410 	 0.6486 	 	 0.7792 	 	 0.6422 	 0.7794 	 0.6422 	 	 0.7794
[2022/07/16 15:52:09] - 43 	 13.6 	 	 1.3 	 	 0.1000 	 0.4986 	 0.8394 	 0.6521 	 	 0.7777 	 	 0.7023 	 0.7594 	 0.7023 	 	 0.7594
[2022/07/16 15:52:24] - 44 	 13.8 	 	 1.3 	 	 0.1000 	 0.4914 	 0.8435 	 0.6433 	 	 0.7794 	 	 0.7127 	 0.7531 	 0.7127 	 	 0.7531
[2022/07/16 15:52:39] - 45 	 13.6 	 	 1.3 	 	 0.1000 	 0.4966 	 0.8423 	 0.6506 	 	 0.7765 	 	 0.6984 	 0.7651 	 0.6984 	 	 0.7651
[2022/07/16 15:52:55] - 46 	 14.5 	 	 1.4 	 	 0.1000 	 0.4975 	 0.8410 	 0.6504 	 	 0.7758 	 	 0.6751 	 0.7699 	 0.6751 	 	 0.7699
[2022/07/16 15:53:10] - 47 	 13.5 	 	 1.5 	 	 0.1000 	 0.4909 	 0.8442 	 0.6455 	 	 0.7798 	 	 0.6725 	 0.7704 	 0.6725 	 	 0.7704
[2022/07/16 15:53:24] - 48 	 13.0 	 	 1.2 	 	 0.1000 	 0.4851 	 0.8453 	 0.6391 	 	 0.7820 	 	 0.7048 	 0.7607 	 0.7048 	 	 0.7607
[2022/07/16 15:53:39] - 49 	 13.3 	 	 1.3 	 	 0.0100 	 0.4900 	 0.8430 	 0.6432 	 	 0.7813 	 	 0.6707 	 0.7684 	 0.6707 	 	 0.7684
[2022/07/16 15:53:54] - 50 	 13.8 	 	 1.3 	 	 0.0100 	 0.4422 	 0.8482 	 0.4575 	 	 0.8420 	 	 0.4544 	 0.8410 	 0.4544 	 	 0.8410
[2022/07/16 15:54:09] - 51 	 13.0 	 	 1.3 	 	 0.0100 	 0.3772 	 0.8712 	 0.3944 	 	 0.8643 	 	 0.4409 	 0.8485 	 0.4409 	 	 0.8485
[2022/07/16 15:54:24] - 52 	 13.9 	 	 1.3 	 	 0.0100 	 0.3518 	 0.8795 	 0.3713 	 	 0.8710 	 	 0.4314 	 0.8507 	 0.4314 	 	 0.8507
[2022/07/16 15:54:39] - 53 	 13.2 	 	 1.3 	 	 0.0100 	 0.3344 	 0.8845 	 0.3561 	 	 0.8766 	 	 0.4196 	 0.8564 	 0.4196 	 	 0.8564
[2022/07/16 15:54:53] - 54 	 13.1 	 	 1.3 	 	 0.0100 	 0.3163 	 0.8926 	 0.3396 	 	 0.8828 	 	 0.4186 	 0.8564 	 0.4186 	 	 0.8564
[2022/07/16 15:55:07] - 55 	 12.8 	 	 1.3 	 	 0.0100 	 0.3048 	 0.8956 	 0.3305 	 	 0.8853 	 	 0.4102 	 0.8586 	 0.4102 	 	 0.8586
[2022/07/16 15:55:23] - 56 	 13.3 	 	 1.7 	 	 0.0100 	 0.2932 	 0.9010 	 0.3210 	 	 0.8895 	 	 0.4222 	 0.8554 	 0.4222 	 	 0.8554
[2022/07/16 15:55:37] - 57 	 13.3 	 	 1.3 	 	 0.0100 	 0.2816 	 0.9039 	 0.3115 	 	 0.8923 	 	 0.4185 	 0.8596 	 0.4185 	 	 0.8596
[2022/07/16 15:55:52] - 58 	 13.0 	 	 1.3 	 	 0.0100 	 0.2712 	 0.9085 	 0.3037 	 	 0.8949 	 	 0.4302 	 0.8540 	 0.4302 	 	 0.8540
[2022/07/16 15:56:07] - 59 	 13.9 	 	 1.3 	 	 0.0100 	 0.2607 	 0.9125 	 0.2951 	 	 0.8972 	 	 0.4371 	 0.8541 	 0.4371 	 	 0.8541
